Rank,Name,Score
142,Kono Oto Tomare! 2nd Season,8.42
143,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42
144,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.42
145,Usagi Drop,8.41
146,Baccano!,8.41
147,Chihayafuru 2,8.41
148,Gintama: Aizome Kaori-hen,8.41
149,Grand Blue,8.41
150,Houseki no Kuni (TV),8.41
151,Hunter x Hunter,8.41
152,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41
153,Barakamon,8.40
154,Kizumonogatari I: Tekketsu-hen,8.40
155,Mushoku Tensei: Isekai Ittara Honki Dasu,8.40
156,Natsume Yuujinchou Roku Specials,8.40
157,Non Non Biyori Nonstop,8.40
158,Shingeki no Kyojin: Kuinaki Sentaku,8.40
159,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.40
160,Tensei shitara Slime Datta Ken 2nd Season,8.39
161,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.39
162,Cowboy Bebop: Tengoku no Tobira,8.39
163,Hellsing Ultimate,8.39
164,Kaze no Tani no Nausica,8.39
165,Luo Xiao Hei Zhan Ji (Movie),8.39
166,Mahou Shoujo MadokaMagica Movie 2: Eien no Monogatari,8.39
167,Bakuman. 2nd Season,8.38
168,Kiseijuu: Sei no Kakuritsu,8.38
169,Kamisama Hajimemashita: Kako-hen,8.37
170,Kingdom 2nd Season,8.37
171,Kingdom 3rd Season,8.37
172,Mahou Shoujo MadokaMagica,8.37
173,Psycho-Pass,8.37
174,Shiguang Daili Ren,8.37
175,Tenki no Ko,8.37
176,Tian Guan Ci Fu,8.36
177,Uchuu Senkan Yamato 2199,8.36
178,Haikyuu!!: To the Top,8.36
179,Major S6,8.36
180,Bakemonogatari,8.35
181,Hotarubi no Mori e,8.35
182,Katanagatari,8.35
183,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.35
184,One Outs,8.35
185,Ookami to Koushinryou II,8.35
186,Romeo no Aoi Sora,8.35
187,Sakamichi no Apollon,8.35
188,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.34
189,Boku dake ga Inai Machi,8.34
190,Evangelion: 2.0 You Can (Not) Advance,8.34
191,Gintama: Shiroyasha Koutan,8.34
192,Given,8.34
193,Kemono no Souja Erin,8.34
194,Made in Abyss Movie 2: Hourou Suru Tasogare,8.34
195,Major: World Series,8.34
196,Mobile Suit Gundam: The Origin,8.34
197,Doukyuusei (Movie),8.33
198,Fate/stay night: Unlimited Blade Works 2nd Season,8.33
199,K-On! Movie,8.33
200,Natsume Yuujinchou,8.33
201,Natsume Yuujinchou Go Specials,8.33
202,NHK ni Youkoso!,8.33
203,Shelter,8.33
204,Shinsekai yori,8.33
205,Shirobako,8.33
206,Steins;Gate: Oukoubakko no Poriomania,8.33
207,Versailles no Bara,8.33
208,Neon Genesis Evangelion,8.32
209,Dr. Stone,8.32
210,Fate/Zero,8.32
211,Great Pretender,8.32
212,Hunter x Hunter: Original Video Animation,8.32
213,Kino no Tabi: The Beautiful World,8.32
214,Kuroko no Basket 3rd Season,8.32
215,Bakemono no Ko,8.31
216,Beck,8.31
217,Diamond no Ace: Second Season,8.31
218,Nodame Cantabile,8.31
219,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31
220,Tsubasa: Tokyo Revelations,8.31
221,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.31
222,Planetes,8.30
223,Stranger: Mukou Hadan,8.30
224,Yuukoku no Moriarty 2nd Season,8.30
225,Detective Conan Movie 06: The Phantom of Baker Street,8.30
226,Kono Subarashii Sekai ni Shukufuku wo! 2,8.30
227,Gin no Saji 2nd Season,8.29
228,Hibike! Euphonium 2,8.29
229,Initial D First Stage,8.29
230,Kawaki wo Ameku,8.29
231,Koukaku Kidoutai,8.29
232,Redline,8.29
233,Tenkuu no Shiro Laputa,8.29
234,Tokyo Godfathers,8.29
235,Tonari no Totoro,8.29
236,No Game No Life: Zero,8.28
237,Nomad: Megalo Box 2,8.28
238,Quanzhi Gaoshou Specials,8.28
239,Re:Zero kara Hajimeru Isekai Seikatsu,8.28
240,Ashita no Joe,8.28
241,Douluo Dalu: Xingdou Xian Ji Pian,8.28
242,Gintama: Shinyaku Benizakura-hen,8.28
243,Gyakkyou Burai Kaiji: Ultimate Survivor,8.28
244,Hajime no Ippo: Champion Road,8.28
245,Hunter x Hunter: Greed Island Final,8.28
246,Sennen Joyuu,8.27
247,Yuru Camp,8.27
248,Nodame Cantabile: Finale,8.26
249,Ookami to Koushinryou,8.26
250,SpaceDandy 2nd Season,8.26
